minutes,player_name,TS%,AST,TO,USG,ORR,DRR,REBR,PER
0,Sylvester,0.621716668072422,31.159455017934913,14.182776594455547,36.615743238625946,9.606137455732865,18.381260824192413,12.967290136249407,28.93983939076786
0,Marvin the Martian,0.6108502836597863,33.37966366982185,15.021067186039048,30.819697663818648,6.596079796692139,23.755342280921322,11.8533556871313,20.48176310507947
0,Road Runner,0.6369977139892724,28.98406936427395,14.471599581218719,37.915536180366246,4.664893959065393,30.45148340205444,12.581268537785904,23.441942326762334
0,Foghorn Leghorn,0.6184957417323536,29.3287875105611,14.79912291285064,33.08637109935245,5.249713925807701,19.211872531943385,13.43210604519069,27.343853057425452
0,Bugs Bunny,0.6219069886543455,31.768569044277058,15.125170351382272,36.3014785693231,5.7510412383910925,19.21772901148481,12.829741379773008,28.55699083942034
0,Elmer Fudd,0.6271208147895565,30.783528620588054,15.399157165555248,34.823551288754196,5.79807505157158,29.31968522930977,14.469161023531404,23.725618292523496
0,Lola Bunny,0.6504446175572223,31.935452694508786,14.753089117635524,38.57808942223568,4.969190731970022,27.07638125378544,20.43303779206682,37.651662096281186
0,Porky Pig,0.6049120775823281,30.551678303491162,16.997275496147964,33.78004330955144,4.827167878706696,23.83851347298259,13.190062372338677,22.787656324213376
0,Tasmanian Devil,0.6063992677530217,30.591014661586172,15.515317326195408,37.2878885550769,5.409628798487546,30.520954883030917,8.893922743982962,15.552516655970233
0,Gossamer,0.6237546060850446,29.82510454727568,16.019144340321393,36.206800588582425,5.517334068540834,19.51979217956216,11.900630838904217,26.499056246202688
0,Granny,0.6064127459108117,26.94251978547124,14.889594411140537,34.73801429428377,6.110091332717079,19.74399123449508,12.805304827303395,25.944331105449113
0,Wile E. Coyote,0.6312245781498802,28.21031564389293,12.477503688225992,34.71591537114394,5.9160987585898575,18.245009189462753,12.98612806596736,30.038610133474034
0,Tweety,0.6104855115158054,31.72683678688209,14.45092758064049,34.49703694441026,7.366465454917491,16.195399685178373,11.041440820269306,26.180805043528085
0,Penelope,0.6175513193248662,27.348022130684534,15.435885467001931,28.252266720658262,7.9936545887402,19.843503600219638,9.416577591738838,17.19144015544759
0,Daffy Duck,0.6409237910262794,30.008645060870002,13.610686059593311,33.10939036209606,8.052531837488,20.36691420713112,13.381282327446838,27.87310974058234
12,Sylvester,0.6254106299453157,28.60391184170038,15.342205519529399,37.31782590182281,7.221934234863584,10.872837795009824,11.591805114618284,32.01495984718382
12,Marvin the Martian,0.6048006556964822,30.87547926303494,16.011057847631115,30.61915708412014,5.472124226538696,18.868846357340114,12.870224953530201,23.940833337486698
12,Road Runner,0.6115179412560731,27.606213511121183,13.63543024499698,38.98590305919704,6.091582096399858,26.294809877404514,11.923703580137028,24.265354334848364
12,Foghorn Leghorn,0.6211841047906721,30.27738118838449,16.499195966329854,32.8928581629831,6.202888074925063,19.894560197718764,15.813449308752771,29.17220053749927
12,Bugs Bunny,0.62856419055274,33.974200475034,14.771873550569389,35.28193616528918,4.281815468768959,16.703446986811723,9.920105369074495,26.62632995327699
12,Elmer Fudd,0.6315371737320359,30.46592484771801,15.5977165523032,37.13877481343212,5.3796215010737445,22.949621232775147,14.375338266261693,29.143042605486894
12,Lola Bunny,0.6302834381831591,33.239051488940916,14.091646397721961,38.5288672903385,4.3703841423386125,19.614644162283113,14.989193378556026,34.185939394721316
12,Porky Pig,0.6031368033310336,30.3530289435688,15.19500277649666,36.934534000768906,4.179149052379365,14.018745382463798,14.881112296680225,34.15172267916007
12,Tasmanian Devil,0.6077121047171834,23.63095644500208,15.518450487115704,33.56489719744077,5.191162997929731,17.659068221839874,7.618045460485003,18.96201680365694
12,Gossamer,0.6265039064540708,30.410164500730033,15.932376824124686,32.41766068806019,7.211663650410191,17.97070547838639,12.095605358996785,25.296597332256898
12,Granny,0.5919863096892803,25.689949234972,12.872576695323824,37.8691724370964,5.371491768594532,28.924516910646354,14.561128494557474,24.93262253220745
12,Wile E. Coyote,0.6121114313505275,29.227427077340533,13.036547448004944,33.063664055078945,8.431978937412643,19.62751463956979,17.638017579091436,32.718717914646916
12,Tweety,0.6129884873273667,26.606132589242765,14.134757953883302,37.891912034535764,5.535428089442975,20.555162427255432,6.311098803526063,19.221982079023004
